"first_name","last_name","address>street","address>country_id","address>city","address>region","address>region_id","address>postcode","address>telephone","email","optional>password","website_id","group_id","store_id","address>is_default_billing","address>is_default_shipping"
"Rebbecca","Didio","171 E 24th St","AU","Leith",,"TAS",7315,"0458-665-290","rebbecca.didio@didio.com.au",,1,1,1,1,1
"Stevie","Hallo","22222 Acoma St","AU","Proston",,"QLD",4613,"0497-622-620","stevie.hallo@hotmail.com",,1,1,1,1,1
"Mariko","Stayer","534 Schoenborn St #51","AU","Hamel",,"WA",6215,"0427-885-282","mariko_stayer@hotmail.com",,1,1,1,1,1
"Gerardo","Woodka","69206 Jackson Ave","AU","Talmalmo",,"NSW",2640,"0443-795-912","gerardo_woodka@hotmail.com",,1,1,1,1,1
"Mayra","Bena","808 Glen Cove Ave","AU","Lane Cove",,"NSW",1595,"0453-666-885","mayra.bena@gmail.com",,1,1,1,1,1
"Idella","Scotland","373 Lafayette St","AU","Cartmeticup",,"WA",6316,"0451-966-921","idella@hotmail.com",,1,1,1,1,1
"Sherill","Klar","87 Sylvan Ave","AU","Nyamup",,"WA",6258,"0427-991-688","sklar@hotmail.com",,1,1,1,1,1
"Ena","Desjardiws","60562 Ky Rt 321","AU","Bendick Murrell",,"NSW",2803,"0415-961-606","ena_desjardiws@desjardiws.com.au",,1,1,1,1,1
"Vince","Siena","70 S 18th Pl","AU","Purrawunda",,"QLD",4356,"0411-732-965","vince_siena@yahoo.com",,1,1,1,1,1
"Theron","Jarding","8839 Ventura Blvd","AU","Blanchetown",,"SA",5357,"0461-862-457","tjarding@hotmail.com",,1,1,1,1,1
"Amira","Chudej","3684 N Wacker Dr","AU","Rockside",,"QLD",4343,"0478-867-289","amira.chudej@chudej.net.au",,1,1,1,1,1
"Marica","Tarbor","68828 S 32nd St #6","AU","Rosegarland",,"TAS",7140,"0494-982-617","marica.tarbor@hotmail.com",,1,1,1,1,1
"Shawna","Albrough","43157 Cypress St","AU","Ringwood",,"QLD",4343,"0441-255-802","shawna.albrough@albrough.com.au",,1,1,1,1,1
"Paulina","Maker","6 S Hanover Ave","AU","Maylands",,"WA",6931,"0420-123-282","paulina_maker@maker.net.au",,1,1,1,1,1
"Rose","Jebb","27916 Tarrytown Rd","AU","Wooloowin",,"QLD",4030,"0496-441-929","rose@jebb.net.au",,1,1,1,1,1
"Reita","Tabar","79620 Timber Dr","AU","Arthurville",,"NSW",2820,"0431-669-863","rtabar@hotmail.com",,1,1,1,1,1
"Maybelle","Bewley","387 Airway Cir #62","AU","Mapleton",,"QLD",4560,"0448-221-640","mbewley@yahoo.com",,1,1,1,1,1
"Camellia","Pylant","570 W Pine St","AU","Tuggerawong",,"NSW",2259,"0423-446-913","camellia_pylant@gmail.com",,1,1,1,1,1
"Roy","Nybo","823 Fishers Ln","AU","Red Hill",,"ACT",2603,"0416-394-795","rnybo@nybo.net.au",,1,1,1,1,1
"Albert","Sonier","4 Brookcrest Dr #7786","AU","Inverlaw",,"QLD",4610,"0420-575-355","albert.sonier@gmail.com",,1,1,1,1,1
"Hayley","Taghon","72 Wyoming Ave","AU","Eugowra",,"NSW",2806,"0491-976-291","htaghon@taghon.net.au",,1,1,1,1,1
"Norah","Daleo","754 Sammis Ave","AU","Kotara Fair",,"NSW",2289,"0462-327-613","ndaleo@daleo.net.au",,1,1,1,1,1
"Rosina","Sidhu","660 N Green St","AU","Burpengary",,"QLD",4505,"0458-753-924","rosina_sidhu@gmail.com",,1,1,1,1,1
"Royal","Costeira","970 Waterloo Rd","AU","Ellis Beach",,"QLD",4879,"0480-443-612","royal_costeira@costeira.com.au",,1,1,1,1,1
"Barrie","Nicley","4129 Abbott Dr","AU","Fish Creek",,"VIC",3959,"0455-270-505","bnicley@nicley.com.au",,1,1,1,1,1
"Linsey","Gedman","1529 Prince Rodgers Ave","AU","Kennedy",,"QLD",4816,"0433-965-131","lgedman@gedman.net.au",,1,1,1,1,1
"Laura","Bourbonnais","2 N Valley Mills Dr","AU","Cape Portland",,"TAS",7264,"0491-455-112","laura.bourbonnais@yahoo.com",,1,1,1,1,1
"Fanny","Stoneking","50968 Kurtz St #45","AU","Warra",,"QLD",4411,"0465-778-983","fstoneking@hotmail.com",,1,1,1,1,1
"Kristian","Ellerbusch","71585 S Ayon Ave #9","AU","Wanguri",,"NT","0810","0442-982-316","kristian@yahoo.com",,1,1,1,1,1
"James","Butt","6649 N Blue Gum St","US","New Orleans","Orleans","LA",70116,"504-621-8927","jbutt@gmail.com",,1,1,1,1,1
